RATIOS-
[0.10770440251572327, 0.1029874213836478, 0.08569182389937106, 0.1069182389937107, 0.09276729559748427, 0.10927672955974843, 0.0959119496855346, 0.10220125786163523, 0.09040880503144653, 0.0880503144654088]

MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.353', '0.221'), ('0.344', '0.246'), ('0.347', '0.290'), ('0.354', '0.259'), ('0.350', '0.250'), ('0.326', '0.430'), ('0.360', '0.186'), ('0.328', '0.450'), ('0.337', '0.389'), ('0.341', '0.391')]('0.3440', '0.3112')
LogReg              previous_ngram_notes4                   1                   relu                True                False               [('0.982', '1.000'), ('0.981', '0.977'), ('0.987', '0.991'), ('0.984', '1.000'), ('0.981', '0.948'), ('0.979', '0.941'), ('0.974', '0.856'), ('0.987', '0.992'), ('0.980', '1.000'), ('0.984', '0.973')]('0.9819', '0.9678')
LogReg              previous_ngram_notes4                   1                   logistic            True                False               [('0.982', '1.000'), ('0.981', '0.977'), ('0.987', '0.991'), ('0.984', '1.000'), ('0.981', '0.948'), ('0.979', '0.941'), ('0.974', '0.856'), ('0.987', '0.992'), ('0.980', '1.000'), ('0.984', '0.973')]('0.9819', '0.9678')
LogReg              previous_ngram_notes4                   1                   logistic            True                False               [('0.982', '1.000'), ('0.981', '0.977'), ('0.987', '0.991'), ('0.984', '1.000'), ('0.981', '0.948'), ('0.979', '0.941'), ('0.974', '0.856'), ('0.987', '0.992'), ('0.980', '1.000'), ('0.984', '0.973')]('0.9819', '0.9678')
LogReg              previous_ngram_notes4                   1                   logistic            True                False               [('0.982', '1.000'), ('0.981', '0.977'), ('0.987', '0.991'), ('0.984', '1.000'), ('0.981', '0.948'), ('0.979', '0.941'), ('0.974', '0.856'), ('0.987', '0.992'), ('0.980', '1.000'), ('0.984', '0.973')]('0.9819', '0.9678')
LogReg              previous_ngram_notes4                   1                   tanh                True                False               [('0.982', '1.000'), ('0.981', '0.977'), ('0.987', '0.991'), ('0.984', '1.000'), ('0.981', '0.948'), ('0.979', '0.941'), ('0.974', '0.856'), ('0.987', '0.992'), ('0.980', '1.000'), ('0.984', '0.973')]('0.9819', '0.9678')
LogReg              previous_ngram_notes4                   1                   tanh                True                False               [('0.982', '1.000'), ('0.981', '0.977'), ('0.987', '0.991'), ('0.984', '1.000'), ('0.981', '0.948'), ('0.979', '0.941'), ('0.974', '0.856'), ('0.987', '0.992'), ('0.980', '1.000'), ('0.984', '0.973')]('0.9819', '0.9678')
LogReg              previous_ngram_notes4                   1                   tanh                True                False               [('0.982', '1.000'), ('0.981', '0.977'), ('0.987', '0.991'), ('0.984', '1.000'), ('0.981', '0.948'), ('0.979', '0.941'), ('0.974', '0.856'), ('0.987', '0.992'), ('0.980', '1.000'), ('0.984', '0.973')]('0.9819', '0.9678')
LogReg              previous_ngram_notes4                   1                   identity            False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   identity            False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   identity            False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   relu                False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   relu                False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   relu                False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   logistic            False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   logistic            False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   logistic            False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   tanh                False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   tanh                False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   tanh                False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   identity            True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   identity            True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   identity            True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   relu                True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   relu                True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   relu                True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   logistic            True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   logistic            True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   logistic            True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   tanh                True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   tanh                True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   tanh                True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.353', '0.221'), ('0.344', '0.246'), ('0.347', '0.290'), ('0.354', '0.259'), ('0.350', '0.250'), ('0.326', '0.430'), ('0.360', '0.186'), ('0.328', '0.450'), ('0.337', '0.389'), ('0.341', '0.391')]('0.3440', '0.3112')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.360', '0.267'), ('0.370', '0.200'), ('0.351', '0.308'), ('0.371', '0.274'), ('0.363', '0.276'), ('0.346', '0.437'), ('0.369', '0.186'), ('0.345', '0.364'), ('0.347', '0.381'), ('0.341', '0.409')]('0.3563', '0.3102')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.346', '0.298'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3418', '0.3314')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.354', '0.260'), ('0.367', '0.208'), ('0.355', '0.271'), ('0.355', '0.274'), ('0.356', '0.241'), ('0.333', '0.444'), ('0.366', '0.178'), ('0.337', '0.442'), ('0.342', '0.389'), ('0.344', '0.409')]('0.3509', '0.3116')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.939', '0.969'), ('0.906', '0.762'), ('0.945', '0.972'), ('0.920', '0.941'), ('0.939', '0.905'), ('0.929', '0.867'), ('0.953', '0.822'), ('0.921', '0.930'), ('0.949', '0.947'), ('0.953', '0.936')]('0.9354', '0.9051')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.934', '0.962'), ('0.911', '0.785'), ('0.943', '0.972'), ('0.926', '0.963'), ('0.941', '0.922'), ('0.929', '0.867'), ('0.965', '0.856'), ('0.929', '0.938'), ('0.943', '0.947'), ('0.955', '0.936')]('0.9376', '0.9148')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.743', '0.802'), ('0.812', '0.654'), ('0.813', '0.925'), ('0.825', '0.815'), ('0.831', '0.750'), ('0.825', '0.807'), ('0.630', '0.373'), ('0.817', '0.876'), ('0.632', '0.611'), ('0.815', '0.882')]('0.7743', '0.7495')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.917', '0.962'), ('0.852', '0.662'), ('0.916', '0.972'), ('0.898', '0.919'), ('0.919', '0.845'), ('0.927', '0.867'), ('0.932', '0.822'), ('0.918', '0.930'), ('0.919', '0.947'), ('0.919', '0.936')]('0.9117', '0.8862')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3415', '0.3329')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3415', '0.3329')
MLP                 previous_ngram_notes4                   1                   logistic            True                True                [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3415', '0.3329')
MLP                 previous_ngram_notes4                   1                   tanh                True                True                [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3415', '0.3329')
SVM                 previous_ngram_notes4                   1                   rbf                 False               False               [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.333', '0.452'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3422', '0.3322')
SVM                 previous_ngram_notes4                   1                   linear              False               False               [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3415', '0.3329')
SVM                 previous_ngram_notes5                   1                   sigmoid             False               False               [('0.287', '0.260'), ('0.300', '0.185'), ('0.277', '0.215'), ('0.261', '0.289'), ('0.263', '0.328'), ('0.276', '0.341'), ('0.275', '0.322'), ('0.272', '0.302'), ('0.259', '0.301'), ('0.263', '0.318')]('0.2733', '0.2861')
SVM                 previous_ngram_notes4                   1                   rbf                 True                False               [('0.358', '0.313'), ('0.365', '0.254'), ('0.353', '0.290'), ('0.352', '0.252'), ('0.357', '0.319'), ('0.340', '0.459'), ('0.371', '0.178'), ('0.334', '0.457'), ('0.346', '0.434'), ('0.351', '0.382')]('0.3527', '0.3338')
SVM                 previous_ngram_notes4                   1                   linear              True                False               [('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000'), ('0.998', '0.992'), ('1.000', '1.000'), ('1.000', '1.000'), ('1.000', '1.000')]('0.9998', '0.9992')
SVM                 previous_ngram_notes5                   1                   sigmoid             True                False               [('0.276', '0.313'), ('0.297', '0.231'), ('0.283', '0.299'), ('0.275', '0.267'), ('0.264', '0.293'), ('0.274', '0.341'), ('0.283', '0.254'), ('0.266', '0.310'), ('0.273', '0.327'), ('0.272', '0.336')]('0.2763', '0.2971')
SVM                 previous_ngram_notes4                   1                   rbf                 False               True                [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3415', '0.3329')
SVM                 previous_ngram_notes4                   1                   linear              False               True                [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3415', '0.3329')
SVM                 previous_ngram_notes5                   1                   sigmoid             False               True                [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3415', '0.3329')
SVM                 previous_ngram_notes4                   1                   rbf                 True                True                [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3415', '0.3329')
SVM                 previous_ngram_notes4                   1                   linear              True                True                [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3415', '0.3329')
SVM                 previous_ngram_notes5                   1                   sigmoid             True                True                [('0.343', '0.313'), ('0.351', '0.254'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.344', '0.310'), ('0.326', '0.459'), ('0.357', '0.178'), ('0.327', '0.457'), ('0.332', '0.434'), ('0.337', '0.382')]('0.3415', '0.3329')
LogReg              previous_ngram_notes4                   1                   identity            False               False               [('0.348', '0.214'), ('0.355', '0.200'), ('0.345', '0.308'), ('0.354', '0.274'), ('0.344', '0.250'), ('0.321', '0.430'), ('0.361', '0.178'), ('0.322', '0.450'), ('0.335', '0.381'), ('0.334', '0.391')]('0.3419', '0.3076')
LogReg              previous_ngram_notes4                   1                   relu                False               False               [('0.348', '0.214'), ('0.355', '0.200'), ('0.345', '0.308'), ('0.354', '0.274'), ('0.344', '0.250'), ('0.321', '0.430'), ('0.361', '0.178'), ('0.322', '0.450'), ('0.335', '0.381'), ('0.334', '0.391')]('0.3419', '0.3076')
LogReg              previous_ngram_notes4                   1                   identity            True                False               [('0.982', '1.000'), ('0.981', '0.977'), ('0.987', '0.991'), ('0.984', '1.000'), ('0.981', '0.948'), ('0.979', '0.941'), ('0.974', '0.856'), ('0.987', '0.992'), ('0.980', '1.000'), ('0.984', '0.973')]('0.9819', '0.9678')
LogReg              previous_ngram_notes4                   1                   relu                True                False               [('0.982', '1.000'), ('0.981', '0.977'), ('0.987', '0.991'), ('0.984', '1.000'), ('0.981', '0.948'), ('0.979', '0.941'), ('0.974', '0.856'), ('0.987', '0.992'), ('0.980', '1.000'), ('0.984', '0.973')]('0.9819', '0.9678')
LogReg              previous_ngram_notes4                   1                   logistic            True                False               [('0.982', '1.000'), ('0.981', '0.977'), ('0.987', '0.991'), ('0.984', '1.000'), ('0.981', '0.948'), ('0.979', '0.941'), ('0.974', '0.856'), ('0.987', '0.992'), ('0.980', '1.000'), ('0.984', '0.973')]('0.9819', '0.9678')
LogReg              previous_ngram_notes4                   1                   tanh                True                False               [('0.982', '1.000'), ('0.981', '0.977'), ('0.987', '0.991'), ('0.984', '1.000'), ('0.981', '0.948'), ('0.979', '0.941'), ('0.974', '0.856'), ('0.987', '0.992'), ('0.980', '1.000'), ('0.984', '0.973')]('0.9819', '0.9678')
LogReg              previous_ngram_notes4                   1                   identity            False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   relu                False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   logistic            False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   tanh                False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   identity            True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   relu                True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   logistic            True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   tanh                True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')


SORTED:all
SVM                 previous_ngram_notes5                   1                   sigmoid             False               False               [('0.287', '0.260'), ('0.300', '0.185'), ('0.277', '0.215'), ('0.261', '0.289'), ('0.263', '0.328'), ('0.276', '0.341'), ('0.275', '0.322'), ('0.272', '0.302'), ('0.259', '0.301'), ('0.263', '0.318')]('0.2733', '0.2861')
SVM                 previous_ngram_notes5                   1                   sigmoid             True                False               [('0.276', '0.313'), ('0.297', '0.231'), ('0.283', '0.299'), ('0.275', '0.267'), ('0.264', '0.293'), ('0.274', '0.341'), ('0.283', '0.254'), ('0.266', '0.310'), ('0.273', '0.327'), ('0.272', '0.336')]('0.2763', '0.2971')
LogReg              previous_ngram_notes4                   1                   identity            False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   relu                False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   logistic            False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   tanh                False               True                [('0.325', '0.260'), ('0.349', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.345', '0.259'), ('0.331', '0.504'), ('0.352', '0.169'), ('0.323', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3382', '0.3044')
LogReg              previous_ngram_notes4                   1                   identity            True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   relu                True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   logistic            True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   tanh                True                True                [('0.327', '0.260'), ('0.350', '0.185'), ('0.346', '0.290'), ('0.352', '0.252'), ('0.352', '0.259'), ('0.331', '0.504'), ('0.354', '0.169'), ('0.325', '0.442'), ('0.320', '0.319'), ('0.339', '0.364')]('0.3396', '0.3044')
LogReg              previous_ngram_notes4                   1                   identity            False               False               [('0.348', '0.214'), ('0.355', '0.200'), ('0.345', '0.308'), ('0.354', '0.274'), ('0.344', '0.250'), ('0.321', '0.430'), ('0.361', '0.178'), ('0.322', '0.450'), ('0.335', '0.381'), ('0.334', '0.391')]('0.3419', '0.3076')
LogReg              previous_ngram_notes4                   1                   relu                False               False               [('0.348', '0.214'), ('0.355', '0.200'), ('0.345', '0.308'), ('0.354', '0.274'), ('0.344', '0.250'), ('0.321', '0.430'), ('0.361', '0.178'), ('0.322', '0.450'), ('0.335', '0.381'), ('0.334', '0.391')]('0.3419', '0.3076')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.360', '0.267'), ('0.370', '0.200'), ('0.351', '0.308'), ('0.371', '0.274'), ('0.363', '0.276'), ('0.346', '0.437'), ('0.369', '0.186'), ('0.345', '0.364'), ('0.347', '0.381'), ('0.341', '0.409')]('0.3563', '0.3102')
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.353', '0.221'), ('0.344', '0.246'), ('0.347', '0.290'), ('0.354', '0.259'), ('0.350', '0.250'), ('0.326', '0.430'), ('0.360', '0.186'), ('0.328', '0.450'), ('0.337', '0.389'), ('0.341', '0.391')]('0.3440', '0.3112')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.354', '0.260'), ('0.367', '0.208'), ('0.355', '0.271'), ('0.355', '0.274'), ('0.356', '0.241'), ('0.333', '0.444'), ('0.366', '0.178'), ('0.337', '0.442'), ('0.342', '0.389'), ('0.344', '0.409')]('0.3509', '0.3116')
